"","Site","Latitude","Longtiude","X","Y","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,0.548543231040674,-0.24951449189956,599741,4883133,14,14,14,14,14,14,14,14,14,14
"2",2,0.212746062470181,1.04226951812139,608647,4881011,14,14,14,14,14,14,14,14,14,14
"3",3,-0.859526140278951,-0.35061189308804,599044,4874235,14,14,14,14,14,0,0,0,0,0
"4",4,-0.715364396373335,-0.339588360103357,599120,4875146,0,0,0,0,0,14,14,14,14,14
"5",5,-0.178437066986114,-0.281279672473846,599522,4878539,14,14,14,14,14,0,0,0,0,0
"6",6,-0.178595312588645,-0.28490583463986,599497,4878538,0,0,0,0,0,14,14,14,14,14
"7",7,0.427010608296971,0.12470544363312,602321,4882365,14,14,14,14,14,14,14,14,14,14
"8",8,0.194073081371539,0.538232977045397,605172,4880893,13,14,14,14,14,14,14,14,14,14
"9",9,-0.80239947776531,0.163287809079513,602587,4874596,9,0,0,0,0,0,0,0,0,0
"10",10,-0.304717057805743,-0.808233558439051,595889,4877741,14,14,14,12,0,0,0,0,0,0
"11",11,0.236799394054873,0.308044202746806,603585,4881163,14,14,14,14,14,14,14,14,14,14
"12",12,1.06869652655962,-0.260247931910963,599667,4886420,13,14,14,14,14,14,14,14,14,14
"13",13,-0.303609338588027,0.472817011570498,604721,4877748,14,14,14,14,14,14,14,14,14,14
"14",14,-1.67496573012049,1.04865156353358,608691,4869082,14,14,14,14,14,14,14,14,0,0
"15",15,1.1726638874224,-1.65530504042,590049,4887077,14,14,14,14,14,0,0,0,0,0
"16",16,1.6084722767924,-1.10644913497207,593833,4889831,14,14,14,14,14,8,14,14,14,14
"17",17,-0.79701912727926,1.51483097159638,611905,4874630,14,14,14,14,14,14,14,14,14,14
"18",18,-0.295697058461484,0.276859208119082,603370,4877798,14,14,14,14,14,0,0,0,0,0
"19",19,1.05303353506668,-1.92378608719171,588198,4886321.021,0,0,0,0,0,9,14,14,14,14
"20",20,0.612632700065674,-1.96251349912474,587931,4883538,14,14,14,14,14,0,0,0,0,0
"21",21,1.63125964355684,-1.53781738624114,590859,4889975,14,14,14,14,14,0,0,0,0,0
"22",22,-1.16161699551037,0.910422261765109,607738,4872326,14,14,14,14,14,14,14,14,14,14
"23",23,-1.17285243329006,1.45130061044781,611467,4872255,14,14,14,14,14,0,0,0,0,0
"24",24,-0.852563333767593,0.982365319138834,608234,4874279,14,14,14,14,14,0,0,0,0,0
"25",25,-0.234614255884571,1.05285791164615,608720,4878184,14,14,14,14,14,14,14,14,14,14
"26",26,-1.6422088903966,1.37254036820198,610924,4869289,14,14,14,14,14,14,14,14,14,14
"27",27,-0.660136681090063,0.56173050788117,605334,4875495,14,14,14,14,14,14,14,14,14,14
"28",28,0.0717492306151817,-0.767040356233128,596173,4880120,14,14,14,14,14,0,0,0,0,0
"29",29,1.64755894061752,-0.827089601702326,595759,4890078,14,14,14,14,14,14,14,14,14,14
"30",30,0.521008496200304,-0.663332118285118,596888,4882959,14,14,14,14,14,11,14,14,14,13
"31",31,-1.22080085085691,0.0295549483969039,601665,4871952,0,0,0,0,0,14,14,14,14,14
"32",32,1.15668108156678,-0.779079214624296,596090,4886976,0,0,0,0,0,14,14,14,14,14
"33",33,-1.64458257443457,0.52401842135462,605074,4869274,0,0,0,0,0,14,5,0,0,0
"34",34,-2.18008569339901,0.948134348291659,607998,4865890,14,14,14,14,14,0,0,0,0,0
"35",35,1.20668669196654,-0.00438592947699039,601431,4887292,14,14,14,14,14,0,0,0,0,0
"36",36,1.2111175688374,0.0282495300171387,601656,4887320,0,0,0,0,0,14,14,14,3,0
"37",37,-0.303134601780434,1.47581346669007,611636,4877751,14,14,14,14,14,14,14,14,14,14
"38",38,-0.3608942467042,1.86801916656618,614340,4877386,0,0,0,0,0,14,14,14,14,14
"39",39,0.698876553444995,0.579861318711241,605459,4884083,13,14,14,14,14,0,0,0,0,0
"40",40,1.1172779265366,-1.18317872640493,593304,4886727,14,14,14,14,14,14,14,14,14,6
"41",41,0.596649894210057,-1.14749729069135,593550,4883437,14,14,14,14,14,0,0,0,0,0
"42",42,0.550283932668514,-1.14271075663221,593583,4883144,0,0,0,0,0,11,14,14,13,0
