"","Site","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,1,1,1,1,1,0,1,1,1,1
"2",2,0,0,0,0,0,0,0,0,0,0
"3",3,0,0,0,0,0,NA,NA,NA,NA,NA
"4",4,NA,NA,NA,NA,NA,1,0,1,0,1
"5",5,0,1,0,0,1,NA,NA,NA,NA,NA
"6",6,NA,NA,NA,NA,NA,1,1,0,0,0
"7",7,0,0,0,0,0,0,0,0,0,0
"8",8,0,0,0,0,0,0,0,0,0,0
"9",9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,0,0,0,0,NA,NA,NA,NA,NA,NA
"11",11,1,0,0,1,1,0,0,0,1,0
"12",12,0,0,0,0,0,1,1,0,1,0
"13",13,0,1,1,1,0,0,0,0,0,1
"14",14,1,1,1,1,1,1,1,1,NA,NA
"15",15,1,0,1,1,0,NA,NA,NA,NA,NA
"16",16,0,0,0,0,0,0,0,0,0,0
"17",17,0,1,1,1,1,1,0,0,0,0
"18",18,0,0,1,1,1,NA,NA,NA,NA,NA
"19",19,NA,NA,NA,NA,NA,1,0,0,0,0
"20",20,0,0,0,0,0,NA,NA,NA,NA,NA
"21",21,0,0,0,0,0,NA,NA,NA,NA,NA
"22",22,1,1,1,1,1,1,1,0,1,1
"23",23,0,0,1,0,0,NA,NA,NA,NA,NA
"24",24,0,0,0,0,0,NA,NA,NA,NA,NA
"25",25,0,0,1,0,1,0,1,0,0,0
"26",26,1,1,1,1,1,1,1,0,1,1
"27",27,0,1,0,1,1,0,0,1,0,1
"28",28,0,0,0,0,0,NA,NA,NA,NA,NA
"29",29,0,0,0,1,1,0,1,0,0,0
"30",30,0,0,0,0,0,0,0,0,0,0
"31",31,NA,NA,NA,NA,NA,0,0,0,0,0
"32",32,NA,NA,NA,NA,NA,0,0,0,0,0
"33",33,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"34",34,0,1,0,0,0,NA,NA,NA,NA,NA
"35",35,1,0,0,1,0,NA,NA,NA,NA,NA
"36",36,NA,NA,NA,NA,NA,1,1,1,0,NA
"37",37,1,0,0,1,1,0,0,0,0,0
"38",38,NA,NA,NA,NA,NA,0,0,0,0,0
"39",39,1,1,1,1,1,NA,NA,NA,NA,NA
"40",40,0,0,0,0,0,0,1,1,0,0
"41",41,0,1,0,1,0,NA,NA,NA,NA,NA
"42",42,NA,NA,NA,NA,NA,0,0,0,0,NA
